iter	RMSE
0	0.1765696135
1	0.1759793967
2	0.175452874
3	0.1748070353
4	0.1742159274
5	0.1737020487
6	0.1730500619
7	0.1724840691
8	0.1719312267
9	0.1715680798
10	0.1709792662
11	0.1703719677
12	0.1698595295
13	0.1693211158
14	0.1688174931
15	0.1682877218
16	0.1678951581
17	0.1674008678
18	0.1668778141
19	0.1664710307
20	0.166036045
21	0.165648259
22	0.1651316105
23	0.1647217635
24	0.1642587924
25	0.163866082
26	0.1633674089
27	0.1628236537
28	0.1623325552
29	0.1618190965
30	0.1613496266
31	0.1609531943
32	0.1605142454
33	0.1601546583
34	0.1597101374
35	0.1592706526
36	0.1588591624
37	0.1585142813
38	0.1581486358
39	0.1577514583
40	0.1572606292
41	0.1568593853
42	0.1564058513
43	0.1560060697
44	0.1556355441
45	0.1552817165
46	0.1548566199
47	0.1544403474
48	0.153985139
49	0.1535668931
50	0.1532088821
51	0.1529565424
52	0.1525787718
53	0.152175781
54	0.1518442027
55	0.1514636749
56	0.1510956022
57	0.150652072
58	0.1504074088
59	0.1500512778
60	0.1498098127
61	0.1494087266
62	0.1491047604
63	0.1488169797
64	0.1485490201
65	0.1482132315
66	0.1479210359
67	0.1475397779
68	0.1471807046
69	0.1469313956
70	0.1466497084
71	0.1463615298
72	0.146017677
73	0.1456872235
74	0.1455558221
75	0.14526664
76	0.1449604036
77	0.1446541484
78	0.1444564876
79	0.144138807
80	0.1439199436
81	0.1436056352
82	0.1433423108
83	0.143075737
84	0.1427643957
85	0.1425303844
86	0.1422208008
87	0.1419948838
88	0.1416887816
89	0.1414796767
90	0.1411916884
91	0.140994327
92	0.1407516231
93	0.1405673146
94	0.1402578528
95	0.1400524743
96	0.1397328225
97	0.1393952269
98	0.1391598595
99	0.1389775703
100	0.1387012675
101	0.1385119266
102	0.1382635424
103	0.1380089266
104	0.1377646301
105	0.1376091453
106	0.1373342968
107	0.1370794626
108	0.1368116543
109	0.1365504075
110	0.1363938664
111	0.1361569197
112	0.1359568573
113	0.1357353231
114	0.1354771387
115	0.1352750427
116	0.1350736907
117	0.1348416087
118	0.1347450024
119	0.1345766708
120	0.1343383151
121	0.1341468149
122	0.1339732548
123	0.1337680139
124	0.133551089
125	0.1333153659
126	0.13314788
127	0.1329263549
128	0.1327708313
129	0.1326333008
130	0.1323949851
131	0.1322221058
132	0.1320721145
133	0.1318489643
134	0.1316424129
135	0.1314435669
136	0.1313162481
137	0.1310973224
138	0.1308780817
139	0.130683321
140	0.1306206449
141	0.1304555577
142	0.1303208866
143	0.1301358558
144	0.129974938
145	0.1298216948
146	0.1296752098
147	0.1295044755
148	0.1293845959
149	0.1292011074
150	0.1290755798
151	0.1288922419
152	0.1287726101
153	0.1286604138
154	0.1284851235
155	0.128329233
156	0.1281202204
157	0.1279181299
158	0.1277786133
159	0.1277039885
160	0.12757983
161	0.1274207794
162	0.1272406523
163	0.1270242547
164	0.1269169729
165	0.1267845878
166	0.1266258335
167	0.1264778187
168	0.1263475972
169	0.1262441647
170	0.1260683682
171	0.1259592745
172	0.1257429273
173	0.1256279179
174	0.1254437371
175	0.1252635186
176	0.1252026044
177	0.1250506884
178	0.1248751091
179	0.124750528
180	0.1246031639
181	0.1245182207
182	0.1243452037
183	0.1241754514
184	0.1240367711
185	0.1238918654
186	0.1237861699
187	0.1236529865
188	0.1235115129
189	0.1233868003
190	0.1232613551
191	0.1231285186
192	0.1229919005
193	0.122828578
194	0.1227080254
195	0.1226052847
196	0.1224677116
197	0.1223436603
198	0.1221994026
199	0.1220889265
200	0.1219690675
201	0.1218269326
202	0.1216913291
203	0.1215647619
204	0.1214353323
205	0.121316599
206	0.1211627544
207	0.1210269069
208	0.1209525298
209	0.1208764964
210	0.1207950286
211	0.1206506094
212	0.1205064314
213	0.1204273294
214	0.1203608236
215	0.1202385466
216	0.1201463308
217	0.1200290697
218	0.1199191243
219	0.119810515
220	0.1196719765
221	0.1195379495
222	0.1193979975
223	0.1192398674
224	0.1191540729
225	0.1189929531
226	0.1188725079
227	0.1187702581
228	0.1187115026
229	0.1185810651
230	0.1185094311
231	0.1183953867
232	0.1183056467
233	0.1181856501
234	0.1180920017
235	0.1179883775
236	0.1178931401
237	0.1177911377
238	0.1176576074
239	0.1175677785
240	0.1174931057
241	0.1174236049
242	0.1173123368
243	0.1172350292
244	0.1171171945
245	0.1170426394
246	0.1169783607
247	0.1168902344
248	0.1168082959
249	0.1167135837
250	0.1166362571
251	0.1165451204
252	0.1164298368
253	0.1163243999
254	0.1162147037
255	0.116120453
256	0.116076543
257	0.1159228453
258	0.11581687
259	0.1157482725
260	0.115661203
261	0.1155738059
262	0.1154833668
263	0.1153645234
264	0.1152862204
265	0.1152032909
266	0.1151064338
267	0.1150164656
268	0.1149397779
269	0.1148416044
270	0.114788986
271	0.1147126272
272	0.114609917
273	0.1145230261
274	0.11442327
275	0.1143171615
276	0.1141986593
277	0.1141089758
278	0.1140277158
279	0.1138959812
280	0.1137979003
281	0.1136510914
282	0.1135593346
283	0.1135162519
284	0.1134482621
285	0.1133632861
286	0.1132920295
287	0.1132299563
288	0.1131576866
289	0.1131482926
290	0.1130427332
291	0.1129776507
292	0.1128601927
293	0.1127965159
294	0.1127226647
295	0.1126806843
296	0.1126352528
297	0.1126075601
298	0.1125465925
299	0.1124425197
300	0.112384228
301	0.11229654
302	0.1122236946
303	0.1121704964
304	0.1120819104
305	0.1119981369
306	0.1119269866
307	0.1118813981
308	0.1117610691
309	0.111665121
310	0.1115601936
311	0.1115462728
312	0.1114931409
313	0.1114713641
314	0.111380652
315	0.1112740615
316	0.1112197281
317	0.1111347899
318	0.111058094
319	0.1110172928
320	0.1109335949
321	0.11080601
322	0.1107405398
323	0.1106788295
324	0.1106060612
325	0.1105863314
326	0.1105142517
327	0.1104365071
328	0.1103709671
329	0.1103144962
330	0.1102755099
331	0.1101986225
332	0.1101670887
333	0.1101149945
334	0.1099802912
335	0.1098907628
336	0.1098327535
337	0.1097581025
338	0.109714776
339	0.1096227556
340	0.1095018852
341	0.1094605728
342	0.1093601614
343	0.1093224039
344	0.1092771181
345	0.1091851392
346	0.1091053502
347	0.1090565134
348	0.1090000094
349	0.1089448347
350	0.1088778444
351	0.1087991739
352	0.1086936792
353	0.1086376355
354	0.1085941584
355	0.1085773382
