iter	Passed	Remaining
0	3	3236
1	5	2863
2	8	2680
3	10	2594
4	14	2854
5	16	2806
6	19	2743
7	23	2935
8	26	2874
9	29	2912
10	34	3058
11	37	3054
12	39	3016
13	43	3030
14	46	3052
15	49	3045
16	51	2998
17	54	2952
18	56	2913
19	60	2950
20	62	2932
21	64	2849
22	66	2824
23	68	2802
24	71	2774
25	73	2767
26	76	2771
27	79	2753
28	81	2732
29	84	2716
30	86	2701
31	90	2735
32	92	2718
33	95	2704
34	97	2689
35	99	2672
36	102	2659
37	106	2702
38	109	2685
39	111	2669
40	113	2657
41	115	2643
42	117	2617
43	121	2637
44	123	2627
45	126	2617
46	128	2609
47	131	2601
48	134	2603
49	138	2622
50	140	2610
51	142	2603
52	145	2591
53	147	2581
54	149	2571
55	153	2593
56	156	2583
57	157	2563
58	160	2552
59	162	2547
60	164	2539
61	168	2555
62	171	2548
63	173	2540
64	176	2533
65	178	2524
66	180	2518
67	184	2530
68	186	2522
69	189	2515
70	191	2507
71	193	2500
72	196	2491
73	200	2511
74	203	2504
75	205	2497
76	207	2490
77	210	2484
78	212	2477
79	216	2494
80	219	2488
81	221	2482
82	224	2475
83	226	2468
84	228	2462
85	232	2469
86	234	2462
87	237	2458
88	240	2457
89	243	2457
90	247	2468
91	249	2463
92	251	2455
93	254	2449
94	256	2444
95	258	2438
96	262	2446
97	265	2441
98	267	2435
99	269	2429
100	272	2423
101	274	2417
102	278	2425
103	280	2419
104	283	2413
105	286	2412
106	288	2406
107	290	2399
108	295	2412
109	297	2406
110	299	2399
111	302	2395
112	304	2391
113	307	2386
114	311	2394
115	313	2390
116	316	2387
117	320	2392
118	322	2387
119	326	2395
120	328	2389
121	331	2384
122	334	2382
123	336	2377
124	340	2385
125	343	2383
126	346	2378
127	350	2387
128	353	2385
129	358	2396
130	362	2403
131	365	2400
132	367	2394
133	369	2389
134	374	2398
135	377	2400
136	380	2399
137	383	2394
138	389	2414
139	393	2416
140	395	2411
141	398	2407
142	402	2412
143	406	2416
144	409	2417
145	419	2454
146	422	2453
147	426	2453
148	430	2461
149	436	2475
150	439	2469
151	441	2464
152	445	2468
153	450	2473
154	452	2468
155	455	2464
156	457	2458
157	464	2476
158	467	2471
159	469	2466
160	472	2461
161	474	2455
162	479	2464
163	483	2462
164	485	2455
165	487	2449
166	490	2444
167	494	2451
168	497	2447
169	500	2441
170	502	2435
171	504	2429
172	509	2437
173	512	2431
174	514	2426
175	516	2420
176	519	2414
177	521	2409
178	526	2413
179	528	2408
180	531	2405
181	533	2399
182	538	2403
183	542	2406
184	544	2400
185	547	2395
186	549	2390
187	552	2384
188	558	2397
189	561	2392
190	563	2387
191	565	2381
192	568	2376
193	571	2374
194	574	2373
195	578	2371
196	580	2366
197	582	2360
198	586	2362
199	590	2360
200	592	2354
201	594	2349
202	597	2344
203	599	2338
204	603	2342
205	606	2336
206	608	2331
207	610	2325
208	613	2320
209	615	2315
210	620	2319
211	622	2314
212	624	2308
213	627	2303
214	629	2298
215	634	2301
216	636	2297
217	639	2292
218	641	2288
219	644	2283
220	646	2278
221	650	2279
222	652	2274
223	654	2268
224	657	2263
225	659	2259
226	662	2254
227	665	2254
228	668	2250
229	670	2245
230	673	2240
231	675	2236
232	677	2231
233	681	2230
234	683	2226
235	686	2221
236	688	2216
237	690	2212
238	693	2207
239	696	2206
240	699	2202
241	701	2197
242	703	2192
243	706	2188
244	708	2183
245	711	2181
246	714	2177
247	716	2173
248	719	2169
249	721	2164
250	723	2160
251	727	2159
252	730	2155
253	732	2151
254	734	2147
255	737	2143
256	740	2139
257	743	2138
258	746	2134
259	748	2130
260	750	2125
261	752	2120
262	755	2117
263	759	2116
264	761	2112
265	764	2108
266	766	2104
267	769	2100
268	771	2095
269	775	2096
270	777	2092
271	780	2088
272	782	2084
273	785	2081
274	789	2082
275	792	2079
276	795	2076
277	798	2073
278	800	2069
279	803	2065
280	806	2064
281	809	2060
282	811	2056
283	814	2052
284	816	2047
285	818	2043
286	822	2044
287	825	2040
288	827	2036
289	830	2032
290	832	2028
291	834	2023
292	838	2022
293	840	2018
294	843	2016
295	846	2012
296	848	2008
297	852	2007
298	854	2004
299	857	2000
300	859	1996
301	861	1992
302	864	1988
303	868	1987
304	870	1983
305	872	1979
306	875	1975
307	877	1971
308	879	1967
309	883	1965
310	885	1962
311	888	1958
312	890	1955
313	893	1951
314	895	1947
315	899	1946
316	901	1942
317	903	1938
318	906	1934
319	908	1931
320	911	1927
321	914	1926
322	917	1922
323	919	1918
324	922	1915
325	925	1913
326	928	1910
327	931	1908
328	934	1905
329	937	1902
330	939	1899
331	945	1901
332	947	1898
333	950	1895
334	953	1892
335	955	1889
336	961	1890
337	964	1888
338	966	1885
339	969	1881
340	972	1879
341	977	1879
342	980	1877
343	982	1874
344	986	1873
345	991	1874
346	994	1871
347	997	1868
348	1001	1867
349	1003	1863
350	1010	1867
351	1013	1866
352	1017	1864
353	1020	1861
354	1026	1865
355	1076	1946
356	1080	1945
357	1084	1944
358	1090	1947
359	1094	1945
360	1098	1944
361	1102	1943
362	1142	2005
363	1147	2004
364	1151	2002
365	1159	2007
366	1162	2005
367	1167	2005
368	1174	2007
369	1178	2006
370	1181	2003
371	1226	2070
372	1230	2068
373	1234	2066
374	1239	2065
375	1243	2063
376	1248	2062
377	1254	2064
378	1258	2061
379	1261	2058
380	1268	2060
381	1271	2057
382	1275	2054
383	1279	2051
384	1285	2053
385	1289	2050
386	1293	2049
387	1299	2049
388	1310	2058
389	1315	2057
390	1319	2054
391	1322	2051
392	1326	2048
393	1331	2047
394	1334	2044
395	1338	2041
396	1344	2042
397	1350	2042
398	1353	2039
399	1357	2036
400	1364	2038
401	1368	2035
402	1372	2033
403	1376	2030
404	1382	2031
405	1386	2028
406	1390	2025
407	1396	2025
408	1400	2023
409	1404	2020
410	1407	2017
411	1413	2017
412	1417	2014
413	1434	2030
414	1439	2029
415	1445	2028
416	1448	2025
417	1452	2022
418	1456	2019
419	1462	2019
420	1466	2016
421	1485	2034
422	1489	2031
423	1494	2030
424	1498	2027
425	1502	2024
426	1505	2020
427	1511	2019
428	1514	2016
429	1518	2012
430	1540	2034
431	1544	2030
432	1548	2027
433	1552	2024
434	1558	2023
435	1561	2020
436	1565	2017
437	1569	2013
438	1575	2013
439	1578	2009
440	1586	2010
441	1590	2007
442	1594	2004
443	1598	2002
444	1604	2001
445	1608	1997
446	1612	1994
447	1615	1990
448	1629	1999
449	1636	2000
450	1640	1997
451	1644	1993
452	1648	1990
453	1653	1988
454	1657	1985
455	1661	1982
456	1700	2020
457	1703	2016
458	1723	2031
459	1726	2027
460	1732	2025
461	1735	2021
462	1739	2017
463	1744	2015
464	1750	2014
465	1754	2010
466	1774	2025
467	1778	2021
468	1783	2019
469	1787	2015
470	1791	2012
471	1796	2010
472	1800	2006
473	1803	2001
474	1805	1995
475	1807	1990
476	1810	1984
477	1812	1979
478	1815	1974
479	1817	1969
480	1820	1963
481	1822	1958
482	1827	1955
483	1829	1950
484	1831	1945
485	1834	1939
486	1836	1934
487	1838	1929
488	1842	1925
489	1845	1920
490	1888	1957
491	1892	1953
492	1894	1948
493	1897	1943
494	1899	1937
495	1901	1932
496	1904	1927
497	1908	1923
498	1910	1918
499	1913	1913
500	1915	1907
501	1917	1902
502	1919	1896
503	1923	1892
504	1925	1887
505	1928	1882
506	1930	1877
507	1932	1872
508	1935	1866
509	1939	1863
510	1942	1858
511	1944	1853
512	1946	1847
513	1948	1842
514	1950	1837
515	1955	1834
516	1957	1828
517	1959	1823
518	1962	1818
519	1964	1813
520	1966	1808
521	1970	1804
522	1973	1799
523	1975	1794
524	1977	1789
525	1979	1783
526	1981	1778
527	1985	1775
528	1988	1770
529	1990	1764
530	1992	1759
531	1994	1754
532	1997	1749
533	2001	1746
534	2003	1741
535	2005	1736
536	2008	1731
537	2010	1726
538	2012	1721
539	2016	1717
540	2018	1712
541	2021	1707
542	2023	1702
543	2026	1698
544	2033	1697
545	2035	1692
546	2038	1688
547	2041	1684
548	2045	1680
549	2052	1678
550	2054	1674
551	2057	1670
552	2061	1665
553	2065	1663
554	2068	1658
555	2071	1654
556	2074	1649
557	2079	1647
558	2082	1642
559	2084	1638
560	2087	1633
561	2089	1628
562	2094	1625
563	2097	1621
564	2100	1616
565	2102	1612
566	2105	1608
567	2110	1605
568	2113	1600
569	2116	1596
570	2118	1591
571	2121	1587
572	2126	1584
573	2129	1580
574	2132	1576
575	2135	1572
576	2138	1567
577	2142	1564
578	2145	1560
579	2147	1555
580	2150	1550
581	2152	1545
582	2156	1542
583	2158	1537
584	2160	1532
585	2163	1528
586	2165	1523
587	2167	1518
588	2170	1514
589	2173	1510
590	2175	1505
591	2177	1500
